GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReimbursementSystem,com.reimbursement.service,TicketService,75,22,7,1,18,6,9,3,5,3
ReimbursementSystem,com.reimbursement.service,UserService,171,12,32,0,36,3,24,2,8,2
ReimbursementSystem,com.reimbursement.util,JWTGenerator,53,0,0,0,14,0,2,0,2,0
ReimbursementSystem,com.reimbursement.util,RequestViews,66,0,10,0,20,0,8,0,2,0
ReimbursementSystem,com.reimbursement.util,JWTConfig,13,0,0,0,4,0,1,0,1,0
ReimbursementSystem,com.reimbursement.util,PlainTextConnectionUtil,3,39,0,2,2,14,0,5,0,4
ReimbursementSystem,com.reimbursement.repo,TicketDAO,423,36,35,1,123,11,28,3,6,3
ReimbursementSystem,com.reimbursement.repo,UserDAO,291,80,16,2,83,21,14,4,6,3
ReimbursementSystem,com.reimbursement.repo,TicketDAO.new Object() {...},33,0,0,0,1,0,1,0,1,0
ReimbursementSystem,com.reimbursement.model,Principal,34,0,0,0,9,0,6,0,6,0
ReimbursementSystem,com.reimbursement.model,Ticket.new Object() {...},26,0,0,0,1,0,1,0,1,0
ReimbursementSystem,com.reimbursement.model,ReimbursementStatusEnum,34,0,0,0,2,0,1,0,1,0
ReimbursementSystem,com.reimbursement.model,User,314,31,52,0,72,16,38,8,12,8
ReimbursementSystem,com.reimbursement.model,UserRoleEnum,0,24,0,0,0,2,0,1,0,1
ReimbursementSystem,com.reimbursement.model,ReimbursementTypeEnum,44,0,0,0,2,0,1,0,1,0
ReimbursementSystem,com.reimbursement.model,Ticket,398,3,50,0,99,2,50,1,24,1
ReimbursementSystem,com.reimbursement.controller,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
ReimbursementSystem,com.reimbursement.controller,NegativeAmountException,4,0,0,0,2,0,1,0,1,0
ReimbursementSystem,com.reimbursement.controller,ConflictingUserException,0,4,0,0,0,2,0,1,0,1
ReimbursementSystem,com.reimbursement.controller,SelfResolverException,0,4,0,0,0,2,0,1,0,1
ReimbursementSystem,com.reimbursement.controller,InvalidInputException,4,0,0,0,2,0,1,0,1,0
ReimbursementSystem,com.reimbursement.servlets,JWTFilter,78,0,4,0,25,0,6,0,4,0
ReimbursementSystem,com.reimbursement.servlets,TicketServlet,294,17,18,0,64,4,11,2,2,2
ReimbursementSystem,com.reimbursement.servlets,UserServlet,33,8,0,0,13,2,1,2,1,2
ReimbursementSystem,com.reimbursement.servlets,AuthServlet,209,0,4,0,48,0,5,0,3,0
ReimbursementSystem,com.reimbursement.servlets,ViewServlet,42,0,2,0,14,0,4,0,3,0
